,Player,Runs,Balls,4s,6s,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location,strike_rate
8978,Nitish Rana,0,1,0,0,-2,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",0.0
8979,Tom Banton,10,8,1,1,13,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",125.0
8980,Dinesh Karthik,4,14,0,0,-2,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",28.57
8981,Eoin Morgan,30,34,3,1,35,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",88.24
8982,Pat Cummins,4,17,0,0,-2,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",23.53
8983,Kuldeep Yadav,12,19,1,0,13,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",63.16
8984,Lockie Ferguson,19,16,1,0,20,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",118.75
8985,Devdutt Padikkal,25,17,3,0,28,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",147.06
8986,Aaron Finch,16,21,2,0,18,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",76.19
8987,Gurkeerat Singh Mann,21,26,4,0,25,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",80.77
8988,Virat Kohli,18,17,2,0,20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,"Sheikh Zayed Stadium, Abu Dhabi",105.88
8989,Rohit Sharma,4,7,0,0,4,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,57.14
8990,Quinton de Kock,25,13,2,2,37,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,192.31
8991,Suryakumar Yadav,36,29,5,0,41,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,124.14
8992,Ishan Kishan,33,30,1,2,38,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,110.0
8993,Krunal Pandya,0,3,0,0,-2,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,0.0
8994,Saurabh Tiwary,1,3,0,0,-5,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,33.33
8995,Kieron Pollard,41,25,2,4,51,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,164.0
8996,Nathan Coulter Nile,1,3,0,0,-5,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,33.33
8997,James Pattinson,4,5,0,0,4,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,80.0
8998,Dhawal Kulkarni,3,2,0,0,3,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,150.0
8999,David Warner,85,58,10,1,97,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,146.55
9000,Wriddhiman Saha,58,45,7,1,67,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,128.89
9001,Yashasvi Jaiswal,6,6,1,0,7,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,100.0
9002,Steven Smith,69,47,4,4,81,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,146.81
9003,Sanju Samson,74,32,1,9,99,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,231.25
9004,David Miller,0,0,0,0,-2,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,
9005,Robin Uthappa,5,9,0,0,5,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,55.56
9006,Rahul Tewatia,10,8,1,0,11,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,125.0
9007,Riyan Parag,6,4,1,0,7,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,150.0
9008,Tom Curran,10,9,1,0,11,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,111.11
9009,Jofra Archer,27,8,0,4,41,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Sharjah Cricket Stadium,337.5
9010,Murali Vijay,21,21,3,0,24,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,100.0
9011,Shane Watson,33,21,1,4,42,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,157.14
9012,Faf du Plessis,72,37,1,7,93,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,194.59
9013,Sam Curran,17,6,1,2,28,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,283.33
9014,Ruturaj Gaikwad,0,1,0,0,-2,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,0.0
9015,Kedar Jadhav,22,16,3,0,25,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,137.5
9016,MS Dhoni,29,17,0,3,41,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,170.59
9017,Ravindra Jadeja,1,2,0,0,1,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Sharjah Cricket Stadium,50.0
9018,Shubman Gill,9,8,2,0,11,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",112.5
9019,Nitish Rana,81,53,13,1,96,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",152.83
9020,Rahul Tripathi,13,12,1,0,14,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",108.33
9021,Dinesh Karthik,3,6,0,0,3,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",50.0
9022,Sunil Narine,64,32,6,4,84,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",200.0
9023,Eoin Morgan,17,9,2,1,27,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",188.89
9024,Pat Cummins,0,0,0,0,-2,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",
9025,Ajinkya Rahane,0,1,0,0,-2,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",0.0
9026,Shikhar Dhawan,6,6,1,0,7,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",100.0
9027,Shreyas Iyer,47,38,5,0,52,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",123.68
9028,Rishabh Pant,27,33,2,1,31,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",81.82
9029,Shimron Hetmyer,10,5,0,1,18,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,"Sheikh Zayed Stadium, Abu Dhabi",200.0
